diagnostico,condition_id,especialidad,nivel_urgencia
Breast cancer,c_93,Clínica Médica,Consulta
Esophageal cancer,c_94,Gastroenterología,Consulta
Vulvar cancer,c_95,Clínica Médica,Consulta
Thyroid cancer,c_97,Endocrinología,Consulta
Pancreatic cancer,c_98,Gastroenterología,Consulta
Liver cancer,c_99,Gastroenterología,Consulta
Reactive arthritis,c_100,Reumatología,Consulta
Gastroesophageal reflux disease,c_101,Gastroenterología,Consulta
Sciatica,c_102,Clínica Médica,Consulta
Trichomoniasis,c_103,Clínica Médica,Consulta
Rheumatoid arthritis,c_104,Reumatología,Consulta
Sarcoidosis,c_105,Clínica Médica,Consulta
Multiple sclerosis,c_108,Neurología,Consulta
Systemic lupus erythematosus,c_109,Reumatología,Consulta
Bartholin's cyst,c_110,Clínica Médica,Consulta
Acne,c_111,Dermatología,Consulta
Systemic scleroderma,c_112,Reumatología,Consulta
Diverticulosis,c_113,Clínica Médica,Consulta
Ischemic stroke,c_114,Neurología,Emergencia
Stress urinary incontinence,c_116,Urología,Consulta
Obsessive-compulsive disorder,c_118,Clínica Médica,Consulta
Gingivitis,c_120,Clínica Médica,Consulta
Acute viral pharyngitis,c_121,Otorrinolaringología,Consulta
Prostatitis,c_122,Urología,Consulta
Acute laryngitis,c_123,Otorrinolaringología,Consulta
Pulpitis,c_124,Clínica Médica,Consulta
Orchitis and epididymitis,c_125,Clínica Médica,Consulta
Pericarditis,c_126,Clínica Médica,Consulta
Pneumonia,c_127,Neumonología,Consulta
Bacterial vaginitis,c_128,Clínica Médica,Consulta
Cervicitis,c_129,Clínica Médica,Consulta
Acute otitis media,c_130,Otorrinolaringología,Consulta
Otitis externa,c_131,Otorrinolaringología,Consulta
Appendicitis,c_132,Clínica Médica,Urgente
Balanoposthitis,c_134,Clínica Médica,Consulta
Superficial thrombophlebitis,c_135,Hematología,Consulta
Pulmonary embolism,c_136,Clínica Médica,Emergencia
Hangover,c_137,Clínica Médica,Consulta
Food poisoning,c_138,Toxicología,Urgente
Impacted wisdom tooth,c_139,Clínica Médica,Consulta
Myocardial infarction,c_140,Cardiología,Emergencia
Cushing's syndrome,c_141,Endocrinología,Consulta
Irritable bowel syndrome,c_142,Gastroenterología,Consulta
Premenstrual syndrome,c_143,Ginecología,Consulta
Sjögren's syndrome,c_144,Clínica Médica,Consulta
Polycystic ovary syndrome,c_145,Ginecología,Consulta
Dental pulp gangrene,c_146,Clínica Médica,Consulta
Hemorrhoids,c_147,Clínica Médica,Consulta
Deep vein thrombosis,c_148,Hematología,Consulta
Ankylosing spondylitis,c_149,Clínica Médica,Consulta
Trigeminal neuralgia,c_150,Clínica Médica,Consulta
Temporomandibular joint disorders,c_152,Traumatología,Consulta
Gonorrhea,c_159,Clínica Médica,Consulta
Pelvic inflammatory disease,c_160,Clínica Médica,Consulta
Carbon monoxide poisoning,c_161,Toxicología,Urgente
Labyrinthitis,c_162,Clínica Médica,Consulta
Acromegaly,c_163,Clínica Médica,Consulta
Ménétrier's disease,c_164,Clínica Médica,Consulta
Giardiasis,c_165,Clínica Médica,Consulta
Enterobiasis,c_166,Clínica Médica,Consulta
Acute porphyria,c_168,Clínica Médica,Consulta
Erysipelas,c_169,Clínica Médica,Consulta
Stye,c_170,Clínica Médica,Consulta
Chalazion,c_171,Clínica Médica,Consulta
Conjunctivitis,c_172,Clínica Médica,Consulta
Corneal abrasion,c_174,Clínica Médica,Consulta
Corneal ulceration,c_175,Clínica Médica,Consulta
Cataract,c_176,Oftalmología,Consulta
Multiple myeloma,c_179,Clínica Médica,Consulta
Chronic kidney disease,c_180,Nefrología,Consulta
Hodgkin lymphoma,c_181,Hematología,Consulta
Panic disorder,c_183,Clínica Médica,Consulta
Acute cystitis,c_184,Clínica Médica,Consulta
Bladder cancer,c_185,Urología,Consulta
Diverticulitis,c_186,Clínica Médica,Consulta
Cholinergic crisis,c_187,Clínica Médica,Consulta
Cystic fibrosis,c_188,Clínica Médica,Consulta
Rubella,c_189,Clínica Médica,Consulta
Disulfiram-like reaction,c_190,Clínica Médica,Consulta
Acute hypnotic toxicity,c_191,Toxicología,Consulta
Mumps,c_192,Clínica Médica,Consulta
Acute opioid toxicity,c_193,Toxicología,Consulta
Acute stimulant overdose,c_194,Toxicología,Consulta
Improper use of sleeping pills and sedatives,c_195,Clínica Médica,Consulta
Hypopituitarism,c_196,Clínica Médica,Consulta
Antiphospholipid syndrome,c_198,Clínica Médica,Consulta
Infectious mononucleosis,c_200,Clínica Médica,Consulta
Type 1 Neurofibromatosis,c_202,Urología,Consulta
Ménière's disease,c_203,Clínica Médica,Consulta
Wilson's disease,c_205,Clínica Médica,Consulta
Infective endocarditis,c_206,Clínica Médica,Consulta
Pheochromocytoma,c_207,Clínica Médica,Consulta
Tetany,c_208,Clínica Médica,Consulta
Raynaud's disease,c_209,Clínica Médica,Consulta
Myocarditis,c_210,Clínica Médica,Consulta
Carpal tunnel syndrome,c_212,Clínica Médica,Consulta
Zollinger-Ellison syndrome,c_213,Clínica Médica,Consulta
Visceral leishmaniasis,c_214,Clínica Médica,Consulta
Cholecystitis,c_215,Clínica Médica,Urgente
Uveitis,c_216,Clínica Médica,Consulta
Spinal osteoarthritis,c_218,Reumatología,Consulta
Hand osteoarthritis,c_219,Reumatología,Consulta
Knee osteoarthritis,c_220,Reumatología,Consulta
Hip osteoarthritis,c_221,Reumatología,Consulta
Ankle osteoarthritis,c_222,Reumatología,Consulta
Foot osteoarthritis,c_223,Reumatología,Consulta
Generalized anxiety disorder,c_225,Salud Mental,Consulta
Alcohol withdrawal syndrome,c_227,Clínica Médica,Consulta
Typhoid fever,c_234,Clínica Médica,Consulta
Brucellosis,c_235,Clínica Médica,Consulta
Tularemia,c_236,Clínica Médica,Consulta
Relapsing fever,c_237,Clínica Médica,Consulta
Exanthematic typhus,c_238,Hematología,Consulta
Rocky Mountain spotted fever,c_239,Clínica Médica,Consulta
Q fever,c_241,Clínica Médica,Consulta
Cat-scratch disease,c_242,Clínica Médica,Consulta
American trypanosomiasis,c_243,Clínica Médica,Consulta
Yellow fever,c_244,Clínica Médica,Consulta
Dengue fever,c_245,Clínica Médica,Consulta
Lassa fever,c_246,Clínica Médica,Consulta
Glossitis,c_247,Clínica Médica,Consulta
Obstructive jaundice,c_248,Clínica Médica,Consulta
Acute streptococcal pharyngitis,c_249,Otorrinolaringología,Consulta
Polycythemia vera,c_251,Clínica Médica,Consulta
Rift Valley fever,c_252,Clínica Médica,Consulta
Cholera,c_254,Clínica Médica,Consulta
Tetanus,c_255,Clínica Médica,Consulta
Leptospirosis,c_256,Clínica Médica,Consulta
Scrub typhus,c_257,Clínica Médica,Consulta
Dementia,c_260,Clínica Médica,Consulta
Psittacosis,c_263,Clínica Médica,Consulta
Granulomatosis with polyangiitis,c_264,Clínica Médica,Consulta
Nephrotic syndrome,c_265,Nefrología,Consulta
Churg-Strauss syndrome,c_267,Clínica Médica,Consulta
Chronic sinusitis,c_269,Otorrinolaringología,Consulta
Adjustment disorder,c_270,Clínica Médica,Consulta
Plague,c_271,Clínica Médica,Consulta
Bipolar disorder,c_273,Salud Mental,Consulta
Anal fissure,c_275,Clínica Médica,Consulta
Anal cancer,c_276,Clínica Médica,Consulta
Sedatives withdrawal syndrome,c_278,Clínica Médica,Consulta
Pyelonephritis,c_284,Nefrología,Consulta
Measles,c_286,Clínica Médica,Consulta
Horner's syndrome,c_287,Clínica Médica,Consulta
Pulmonary edema,c_288,Clínica Médica,Consulta
Ascariasis,c_289,Clínica Médica,Consulta
Hookworm infection,c_290,Infectología,Urgente
Amyloidosis,c_291,Clínica Médica,Consulta
Urethritis,c_292,Clínica Médica,Consulta
Herbicide poisoning,c_294,Toxicología,Urgente
Insecticide poisoning,c_295,Toxicología,Urgente
Acute anticholinergic syndrome,c_296,Clínica Médica,Consulta
Dehydration,c_298,Clínica Médica,Consulta
Post-traumatic stress disorder,c_299,Traumatología,Consulta
Death cap poisoning,c_303,Toxicología,Urgente
Acetaminophen poisoning,c_306,Toxicología,Urgente
Salicylate poisoning,c_307,Toxicología,Urgente
Social anxiety disorder,c_308,Salud Mental,Consulta
Postpartum depression,c_309,Salud Mental,Consulta
Paranoid schizophrenia,c_310,Salud Mental,Consulta
Leriche's syndrome,c_313,Clínica Médica,Consulta
Guillain-Barré syndrome,c_314,Clínica Médica,Consulta
Dermatomyositis,c_315,Dermatología,Consulta
Vasculitis,c_316,Reumatología,Consulta
Polymyositis,c_317,Clínica Médica,Consulta
Depressive disorder with psychotic features,c_318,Salud Mental,Consulta
Seasonal affective disorder,c_320,Clínica Médica,Consulta
Paget's disease of bone,c_321,Traumatología,Consulta
Pernicious anemia,c_324,Hematología,Consulta
Hemochromatosis,c_328,Clínica Médica,Consulta
Tumor lysis syndrome,c_330,Clínica Médica,Consulta
Acute rheumatic fever,c_331,Clínica Médica,Consulta
Increased intracranial pressure,c_332,Clínica Médica,Consulta
Brain tumor,c_333,Clínica Médica,Consulta
Pituitary tumor,c_334,Clínica Médica,Consulta
Prostate tumor,c_335,Urología,Consulta
Rickets,c_336,Clínica Médica,Consulta
Osteomalacia,c_337,Clínica Médica,Consulta
Korsakoff's syndrome,c_347,Clínica Médica,Consulta
Organic mental disorder,c_350,Salud Mental,Consulta
Post-concussion syndrome,c_351,Clínica Médica,Consulta
Pre-eclampsia,c_369,Clínica Médica,Consulta
Specific phobia,c_370,Clínica Médica,Consulta
Hemorrhagic anemia,c_371,Hematología,Consulta
Anemia of chronic disease,c_372,Hematología,Consulta
Glomerulonephritis,c_374,Nefrología,Consulta
Neurasthenia,c_375,Clínica Médica,Consulta
Wernicke's encephalopathy,c_376,Clínica Médica,Consulta
Transient ischemic attack,c_378,Clínica Médica,Consulta
Cerebellar stroke,c_379,Neurología,Emergencia
Carotid artery dissection,c_381,Clínica Médica,Emergencia
Aplastic anemia,c_382,Hematología,Consulta
Vertebrobasilar insufficiency,c_384,Clínica Médica,Consulta
Von Willebrand disease,c_388,Clínica Médica,Consulta
Pseudobulbar palsy,c_390,Clínica Médica,Consulta
Vascular hemorrhagic diathesis,c_391,Clínica Médica,Consulta
Thrombocytopathy,c_392,Hematología,Consulta
Amyotrophic lateral sclerosis,c_396,Clínica Médica,Consulta
Progressive supranuclear palsy,c_397,Otorrinolaringología,Consulta
Diabetes mellitus type 1,c_404,Endocrinología,Consulta
Diabetes mellitus type 2,c_405,Endocrinología,Consulta
Arginine vasopressin disorder,c_407,Clínica Médica,Consulta
Insulinoma,c_408,Clínica Médica,Consulta
Malaria,c_413,Clínica Médica,Consulta
Carcinoid syndrome,c_415,Clínica Médica,Consulta
Essential thrombocytosis,c_421,Hematología,Consulta
Myelofibrosis,c_423,Clínica Médica,Consulta
Heat and sun-related illness,c_424,Clínica Médica,Consulta
Fasciolosis,c_426,Clínica Médica,Consulta
Graves' disease,c_427,Clínica Médica,Consulta
Hashimoto's thyroiditis,c_428,Endocrinología,Consulta
Thyrotoxic crisis with thyrotoxicosis,c_429,Toxicología,Consulta
Acute thyroiditis,c_430,Endocrinología,Consulta
De Quervain's thyroiditis,c_431,Endocrinología,Consulta
Botulism,c_432,Clínica Médica,Consulta
Trichinosis,c_433,Clínica Médica,Consulta
Cysticercosis,c_434,Clínica Médica,Consulta
Echinococcosis,c_435,Clínica Médica,Consulta
Toxocariasis,c_436,Clínica Médica,Consulta
Taeniasis,c_437,Clínica Médica,Consulta
Trichuriasis,c_438,Clínica Médica,Consulta
Diabetic neuropathy,c_439,Neurología,Consulta
Hepatic encephalopathy,c_443,Hepatología,Consulta
Paroxysmal nocturnal hemoglobinuria,c_445,Clínica Médica,Consulta
Gitelman syndrome,c_447,Clínica Médica,Consulta
Conn's syndrome,c_449,Clínica Médica,Consulta
Takayasu's disease,c_452,Clínica Médica,Consulta
Seborrheic dermatitis,c_453,Dermatología,Consulta
Polyarteritis nodosa,c_458,Clínica Médica,Consulta
Temporal giant cell arteritis,c_459,Clínica Médica,Consulta
Hypertensive crisis,c_461,Clínica Médica,Consulta
Hypertensive encephalopathy,c_462,Clínica Médica,Consulta
IgA vasculitis,c_463,Reumatología,Consulta
Goodpasture's syndrome,c_464,Clínica Médica,Consulta
High altitude sickness,c_465,Clínica Médica,Consulta
Small intestinal bacterial overgrowth,c_466,Gastroenterología,Consulta
Facial nerve palsy,c_467,Clínica Médica,Consulta
Ramsay Hunt syndrome type II,c_468,Clínica Médica,Consulta
Vestibulocochlear nerve damage,c_470,Otorrinolaringología,Consulta
Cerebellopontine angle syndrome,c_471,Clínica Médica,Consulta
Hepatitis A,c_477,Gastroenterología,Consulta
Acute hepatitis B,c_478,Gastroenterología,Consulta
VIPoma,c_480,Clínica Médica,Consulta
Autoimmune hepatitis,c_485,Gastroenterología,Consulta
Primary biliary cholangitis,c_486,Clínica Médica,Consulta
Primary sclerosing cholangitis,c_488,Clínica Médica,Consulta
Idiopathic pulmonary fibrosis,c_489,Clínica Médica,Consulta
Pulmonary hypertension,c_493,Cardiología,Consulta
Chronic intestinal ischemia,c_494,Gastroenterología,Consulta
Esophageal diverticula,c_496,Gastroenterología,Consulta
Prinzmetal's angina,c_497,Cardiología,Consulta
Cirrhosis of the liver,c_503,Gastroenterología,Consulta
Syndrome of inappropriate antidiuretic hormone secretion,c_505,Endocrinología,Consulta
Acute liver failure,c_507,Gastroenterología,Emergencia
Prerenal acute renal failure,c_508,Nefrología,Emergencia
Microscopic polyangiitis,c_510,Clínica Médica,Consulta
Mixed connective tissue disease,c_511,Clínica Médica,Consulta
Mastocytosis,c_513,Clínica Médica,Consulta
Hemophagocytic lymphohistiocytosis,c_514,Clínica Médica,Consulta
Gastritis,c_515,Gastroenterología,Consulta
Testicular cancer,c_519,Clínica Médica,Consulta
Intercostal neuralgia,c_520,Clínica Médica,Consulta
Shigellosis,c_521,Clínica Médica,Consulta
Amebiasis,c_522,Clínica Médica,Consulta
Testicular torsion,c_523,Clínica Médica,Emergencia
Hydrocele testis,c_525,Clínica Médica,Consulta
Acute mastoiditis,c_526,Clínica Médica,Consulta
Behçet's disease,c_531,Clínica Médica,Consulta
Gestational diabetes,c_532,Obstetricia,Consulta
Osteomyelitis,c_533,Clínica Médica,Consulta
Genital herpes,c_534,Clínica Médica,Consulta
African trypanosomiasis,c_535,Clínica Médica,Consulta
Prolactin-releasing pituitary tumor,c_543,Clínica Médica,Consulta
Thyrotropin releasing pituitary adenoma,c_546,Clínica Médica,Consulta
Abducens nerve palsy,c_547,Clínica Médica,Consulta
Trochlear nerve palsy,c_548,Otorrinolaringología,Consulta
Oculomotor nerve palsy,c_549,Clínica Médica,Consulta
Inguinal hernia,c_550,Clínica Médica,Consulta
Incarcerated inguinal hernia,c_551,Clínica Médica,Consulta
Lateral medullary syndrome,c_553,Clínica Médica,Consulta
Vagus nerve palsy,c_554,Clínica Médica,Consulta
Viral meningitis,c_562,Infectología,Urgente
Bacterial meningitis,c_563,Clínica Médica,Urgente
Whitlow,c_569,Clínica Médica,Consulta
Hyperventilation syndrome,c_571,Clínica Médica,Consulta
Type 2 Neurofibromatosis,c_574,Urología,Consulta
Mononeuritis multiplex,c_575,Clínica Médica,Consulta
Degenerative disc disease of the cervical spine,c_576,Clínica Médica,Consulta
Degenerative disc disease of the thoracic spine,c_577,Clínica Médica,Consulta
Allergic bronchopulmonary aspergillosis,c_578,Clínica Médica,Consulta
Rabies,c_579,Clínica Médica,Consulta
West Nile Virus infection,c_580,Infectología,Urgente
Non-Hodgkin lymphoma,c_583,Hematología,Consulta
Limbic encephalitis,c_585,Clínica Médica,Consulta
Pseudo gout,c_587,Clínica Médica,Consulta
Sickle cell anemia,c_588,Hematología,Consulta
Scabies,c_589,Clínica Médica,Consulta
Hepatic abscess,c_590,Hepatología,Urgente
Folate-deficiency anemia,c_592,Hematología,Consulta
Retinopathy,c_593,Clínica Médica,Consulta
Retinal detachment,c_596,Oftalmología,Consulta
Thrombotic thrombocytopenic purpura,c_597,Hematología,Consulta
Fibromyalgia,c_598,Clínica Médica,Consulta
Vestibular neuronitis,c_599,Urología,Consulta
Hemolytic-uremic syndrome,c_606,Clínica Médica,Consulta
Cavernous sinus thrombosis,c_614,Otorrinolaringología,Consulta
Superior vena cava syndrome,c_616,Clínica Médica,Consulta
Pancoast tumor,c_617,Clínica Médica,Consulta
Thoracic outlet syndrome,c_618,Clínica Médica,Consulta
Methanol poisoning,c_619,Toxicología,Urgente
Medulloblastoma,c_620,Clínica Médica,Consulta
Alcoholic cerebellar degeneration,c_622,Clínica Médica,Consulta
Ectopic pregnancy,c_627,Obstetricia,Consulta
Immune thrombocytopenia,c_628,Hematología,Consulta
Pediculosis capitis,c_633,Clínica Médica,Consulta
Diabetic ketoacidosis,c_634,Clínica Médica,Consulta
Metabolic dysfunction-associated steatotic liver disease,c_644,Gastroenterología,Consulta
Sepsis,c_645,Infectología,Emergencia
Tick-borne encephalitis,c_648,Clínica Médica,Consulta
Cardiac tamponade,c_649,Clínica Médica,Consulta
Peritonitis,c_660,Clínica Médica,Consulta
Pneumothorax,c_661,Clínica Médica,Emergencia
Stable angina pectoris,c_663,Cardiología,Consulta
Unstable angina pectoris,c_664,Cardiología,Consulta
Acute HIV infection,c_665,Infectología,Urgente
Non-allergic non-infectious rhinitis,c_666,Otorrinolaringología,Consulta
Alcohol intoxication,c_667,Toxicología,Urgente
Chronic fatigue syndrome,c_668,Clínica Médica,Consulta
Chronic tonsillitis,c_669,Otorrinolaringología,Consulta
Contact dermatitis,c_670,Dermatología,Consulta
Encephalitis,c_671,Clínica Médica,Consulta
Concussion,c_672,Clínica Médica,Consulta
Sudden sensorineural hearing loss,c_673,Fonoaudiología,Consulta
Chronic constipation,c_674,Clínica Médica,Consulta
Scoliosis,c_675,Clínica Médica,Consulta
Scarlet fever,c_676,Clínica Médica,Consulta
Cardiogenic shock,c_677,Cardiología,Emergencia
Brain abscess,c_680,Clínica Médica,Urgente
Presbycusis,c_681,Clínica Médica,Consulta
Subarachnoid hemorrhage,c_685,Clínica Médica,Emergencia
Peritonsillar abscess,c_686,Clínica Médica,Urgente
Respiratory diphtheria,c_687,Neumonología,Consulta
Ear barotrauma,c_688,Traumatología,Consulta
Sprained ankle,c_689,Traumatología,Consulta
Intestinal obstruction,c_694,Gastroenterología,Emergencia
Portal hypertension,c_695,Cardiología,Consulta
Acute intestinal ischemia,c_697,Gastroenterología,Consulta
Oral candidiasis,c_698,Clínica Médica,Consulta
Anaphylaxis,c_700,Clínica Médica,Emergencia
Acute upper gastrointestinal bleeding,c_703,Gastroenterología,Consulta
Clostridium difficile-associated disease,c_704,Clínica Médica,Consulta
Acute lower gastrointestinal hemorrhage,c_705,Gastroenterología,Emergencia
Antibiotic associated diarrhea,c_708,Gastroenterología,Consulta
Hemorrhagic stroke,c_709,Neurología,Emergencia
Nausea and vomiting in pregnancy,c_710,Obstetricia,Consulta
Obstructive sleep apnea,c_711,Clínica Médica,Consulta
Bursitis,c_712,Clínica Médica,Consulta
Angioedema,c_715,Clínica Médica,Consulta
Knee bursitis,c_720,Clínica Médica,Consulta
Insomnia,c_721,Clínica Médica,Consulta
"Furuncles, carbuncles and cutaneous abscesses",c_723,Clínica Médica,Urgente
Pertussis,c_724,Clínica Médica,Consulta
Lactational mastitis,c_727,Clínica Médica,Consulta
Proctitis,c_728,Clínica Médica,Consulta
Toxoplasmosis,c_729,Clínica Médica,Consulta
Vulvovaginal candidiasis,c_732,Clínica Médica,Consulta
Goiter,c_734,Clínica Médica,Consulta
Lactose intolerance,c_735,Clínica Médica,Consulta
Fibrocystic breasts,c_739,Clínica Médica,Consulta
Vitiligo,c_743,Clínica Médica,Consulta
Costochondritis,c_746,Clínica Médica,Consulta
Restless legs syndrome,c_748,Clínica Médica,Consulta
Bartholin's abscess,c_751,Clínica Médica,Urgente
Diabetic nephropathy,c_753,Nefrología,Consulta
Depersonalization-derealization disorder,c_754,Clínica Médica,Consulta
Splenic injury,c_755,Traumatología,Consulta
Dilated cardiomyopathy,c_759,Cardiología,Consulta
Abdominal aortic aneurysm,c_764,Clínica Médica,Consulta
Thoracic aortic aneurysm,c_765,Clínica Médica,Consulta
Secondary syphilis,c_766,Clínica Médica,Consulta
Varicocele,c_767,Clínica Médica,Consulta
Blepharitis,c_769,Clínica Médica,Consulta
Diabetic retinopathy,c_771,Clínica Médica,Consulta
Perimenopause,c_772,Clínica Médica,Consulta
Tertiary syphilis,c_774,Clínica Médica,Consulta
Primary syphilis,c_775,Clínica Médica,Consulta
Fibroadenoma of breast,c_778,Clínica Médica,Consulta
Nose injury,c_780,Traumatología,Consulta
Tinea versicolor,c_786,Clínica Médica,Consulta
Non-melanoma skin cancer,c_797,Dermatología,Consulta
Pneumocystis jirovecii pneumonia,c_798,Neumonología,Consulta
Nasolacrimal duct obstruction,c_799,Clínica Médica,Emergencia
Non-lactational mastitis,c_801,Clínica Médica,Consulta
Alopecia,c_802,Dermatología,Consulta
Achilles tendinitis,c_803,Clínica Médica,Consulta
Achilles tendon rupture,c_806,Clínica Médica,Emergencia
Earwax blockage,c_808,Otorrinolaringología,Consulta
Nasal septum deviation,c_810,Otorrinolaringología,Consulta
Cruciate ligament injury,c_811,Traumatología,Consulta
Rotavirus infection,c_812,Infectología,Urgente
Flatfoot,c_814,Clínica Médica,Consulta
Functional dyspepsia,c_815,Clínica Médica,Consulta
Sprained elbow,c_817,Traumatología,Consulta
Sprained wrist,c_818,Traumatología,Consulta
Sun allergy,c_819,Inmunología Clínica,Consulta
Cutaneous cyst,c_820,Clínica Médica,Consulta
Granuloma annulare,c_824,Clínica Médica,Consulta
Solar lentigo,c_826,Clínica Médica,Consulta
Sprained hip,c_828,Traumatología,Consulta
Sprained knee,c_829,Traumatología,Consulta
Sprained shoulder,c_830,Traumatología,Consulta
Food allergy,c_832,Inmunología Clínica,Consulta
Tinea corporis,c_833,Clínica Médica,Consulta
Lipoma,c_834,Clínica Médica,Consulta
Tinea capitis,c_835,Clínica Médica,Consulta
Ingrown fingernail,c_836,Clínica Médica,Consulta
Cold urticaria,c_837,Dermatología,Consulta
Leukoplakia,c_841,Clínica Médica,Consulta
Frostbite,c_842,Clínica Médica,Consulta
Diaper dermatitis,c_844,Dermatología,Consulta
Burn,c_845,Clínica Médica,Consulta
Corns and callosities,c_847,Clínica Médica,Consulta
Milia,c_848,Clínica Médica,Consulta
Rosacea,c_849,Clínica Médica,Consulta
Tinea pedis,c_857,Clínica Médica,Consulta
Autism spectrum disorder,c_863,Clínica Médica,Consulta
Anal fistula,c_866,Clínica Médica,Consulta
Adenomyosis,c_868,Clínica Médica,Consulta
Benign paroxysmal positional vertigo,c_871,Clínica Médica,Consulta
Ampullary cancer,c_874,Clínica Médica,Consulta
Pelvic organ prolapse,c_880,Clínica Médica,Consulta
Thoracic aortic dissection,c_884,Clínica Médica,Emergencia
Abdominal aortic dissection,c_885,Clínica Médica,Emergencia
Foreign body aspiration,c_887,Clínica Médica,Consulta
Onychomycosis,c_888,Clínica Médica,Consulta
Rib fracture,c_889,Traumatología,Urgente
Decompression sickness,c_891,Clínica Médica,Consulta
Keratitis,c_892,Clínica Médica,Consulta
Epicondylitis,c_894,Clínica Médica,Consulta
Heart valve disease,c_897,Cardiología,Consulta
Cervical acceleration-deceleration syndrome,c_899,Clínica Médica,Consulta
Chikungunya virus infection,c_902,Infectología,Urgente
Zika virus infection,c_906,Infectología,Urgente
Baker's cyst,c_910,Clínica Médica,Consulta
Tinea cruris,c_912,Clínica Médica,Consulta
Functional ovarian cyst,c_915,Clínica Médica,Consulta
Ganglion cyst,c_917,Clínica Médica,Consulta
Hyperprolactinemia,c_920,Clínica Médica,Consulta
Hyperemesis gravidarum,c_921,Clínica Médica,Consulta
Painful ovulation,c_923,Clínica Médica,Consulta
Placenta previa,c_924,Clínica Médica,Consulta
Threatened miscarriage,c_925,Clínica Médica,Consulta
